"","caseno","popbasesec","country","region","la_group","residence_type","add1yr","ageh","agehrp","aggdtwpew11g","ahchuk11","carer","carsnoc","cenheat","clients01","clients02","clients03","clients04","clients05","clients06","clients07","clients08","clients09","clients10","clients11","clients12","clients13","clients14","clients15","clients16","clients17","clients18","clients19","clients20","clients21","cobg","cobhukrcg","concealed","depedhuk11","depemhuk11","dephdhuk11","dephshuk11","deprived","disability","dpcfamuk11","ecopuk11","empstat","estnaturei","ethhuk11","ethnicityew","everwork","fmspuk11","health","hhldlang11","hlqupuk11","hours","housecarer","identityg","illhuk11g","indgpuk11","intention","iscog","landlordew","langprf","larpuk11","lastyrwrkg","mainglangg","marstat","meighuk11","mighuk11","mltrlg","movefromg","moveregion","natidbpuk11","natidepuk11","natidipuk11","natidnipuk11","natidopuk11","natidspuk11","natidwpuk11","nssec","nsshuk11","occg","passports","penexactpuk11","penhuk11","penpuk11","position","pproomhuk11","psptelog","relato","religionew","rtntypeg","scaddtyp","scghuk11","scgpuk11c","selfcon","sex","single","sizhuk11","sscaddcpew11","stapuk11","student","supervisor","tenduk11","tenure","transport","transport_2001","typaccom","unemphist","visitorsg","wg1famuk11","wkpladdewni","wlshread","wlshspeak","wlshstnd","wlshwrit","wpzhome","wrkplaceew","yradindstud","yrarr_yearg"
"100419",346454,1,1,2,185,2,1,9,6,2,9,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,2,0,0,0,0,1,3,5,2,1,NA,10,10,NA,3,2,4,11,3,0,5,0,14,NA,71,3,2,1,1,9,2,2,0,2,1,NA,3,4,7,4,1,4,4,12.4,5,53,7,0,NA,0,NA,2,5,1,2,1,NA,1,1,1,1,2,4,1,NA,2,2,5,4,7,7,3,NA,0,2,1,NA,NA,NA,NA,3,3,0,10
"1487380",353665,1,1,2,186,2,1,10,10,4,10,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,0,1,0,3,2,1,2,1,NA,1,1,NA,5,2,1,10,3,0,NA,1,2,NA,71,NA,NA,5,1,1,2,2,0,8,1,NA,1,4,7,4,3,4,4,13.2,9.1,53,1,0,NA,0,NA,1,NA,4,9,1,NA,4,4,1,1,2,3,1,NA,2,1,1,2,8,8,3,NA,0,2,1,NA,NA,NA,NA,4,4,0,NA
"595322",2337860,1,1,2,191,2,1,10,7,4,6,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,4,1,1,NA,1,1,NA,3,1,1,15,2,1,NA,0,14,NA,22,NA,NA,1,1,1,2,2,0,2,1,NA,2,2,7,4,3,4,4,4.1,2,22,1,0,NA,0,NA,1,NA,1,2,1,NA,1,1,1,2,2,4,1,NA,2,1,1,2,7,7,1,NA,0,2,1,NA,NA,NA,NA,4,4,0,NA
"594261",396347,1,1,2,189,2,1,8,5,4,6,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,2,2,1,NA,1,1,NA,3,2,1,12,3,0,NA,0,8,NA,33,NA,NA,1,1,1,2,2,0,5,1,NA,2,2,7,4,3,4,4,4.2,3.1,35,1,0,NA,0,NA,2,NA,1,1,1,NA,2,2,1,1,2,3,1,NA,2,2,1,2,3,3,1,NA,0,2,1,NA,NA,NA,NA,4,4,0,NA
"752925",2282239,1,1,2,183,2,1,8,7,3,6,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,4,2,1,NA,1,1,NA,3,2,1,14,3,0,NA,0,11,NA,42,NA,NA,1,1,1,2,2,0,2,1,NA,3,1,7,4,3,4,4,7.2,3.4,72,1,0,NA,0,NA,2,NA,1,2,1,7,2,2,1,2,2,4,2,NA,2,2,1,2,7,7,3,NA,0,2,1,NA,NA,NA,NA,3,3,0,NA
"1645916",2309312,1,1,2,184,2,1,8,5,3,2,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,0,0,1,3,NA,2,1,NA,1,1,NA,2,2,1,14,3,1,NA,0,8,NA,34,1,NA,4,1,1,1,1,0,1,1,NA,3,1,7,4,3,4,4,4.1,4.1,32,1,0,NA,0,NA,1,NA,NA,1,1,NA,2,2,1,2,1,1,1,NA,2,1,4,4,7,7,4,NA,0,NA,1,NA,NA,NA,NA,4,4,0,NA
"917689",2293308,1,1,2,184,2,1,10,7,1,10,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,1,1,NA,1,1,NA,3,1,1,10,1,0,NA,0,13,NA,91,NA,NA,1,1,1,2,2,0,2,1,NA,3,1,7,4,3,4,4,13.4,12.4,92,1,0,NA,0,NA,2,NA,1,2,1,NA,4,4,1,2,2,4,1,NA,2,2,1,2,7,7,2,NA,0,2,1,NA,NA,NA,NA,3,3,0,NA
"755467",353515,1,1,2,186,2,1,6,9,5,10,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,8,1,NA,1,1,NA,5,1,1,14,3,0,NA,0,4,NA,52,NA,NA,4,1,1,1,2,0,2,1,NA,1,4,7,4,3,4,4,15,12.4,71,1,0,NA,0,NA,1,NA,4,2,1,NA,3,3,1,2,2,3,1,1,1,2,1,2,3,3,1,NA,0,2,1,NA,NA,NA,NA,4,4,0,NA
"432107",2332670,1,1,2,191,2,1,10,8,1,10,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,3,1,1,NA,1,1,NA,3,1,1,11,2,0,NA,0,6,NA,94,NA,NA,1,1,1,2,2,0,2,1,NA,3,1,7,4,3,4,4,12.2,4.1,92,1,0,NA,0,NA,1,NA,1,2,1,NA,2,2,1,2,2,3,1,NA,2,2,1,2,10,10,1,NA,0,2,1,NA,NA,NA,NA,3,3,0,NA
"1243973",2282726,1,1,2,183,2,1,6,11,1,10,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,0,4,3,1,2,1,NA,1,1,NA,5,2,1,16,3,0,NA,2,3,NA,71,NA,NA,4,1,1,1,2,0,2,1,NA,3,1,7,4,3,4,4,12.3,13.4,52,1,0,9,0,NA,1,NA,4,2,1,NA,NA,4,1,1,2,3,1,NA,2,1,0,1,7,7,2,NA,0,0,1,NA,NA,NA,NA,2,3,0,NA
