"","caseno","popbasesec","country","region","la_group","residence_type","add1yr","ageh","agehrp","aggdtwpew11g","ahchuk11","carer","carsnoc","cenheat","clients01","clients02","clients03","clients04","clients05","clients06","clients07","clients08","clients09","clients10","clients11","clients12","clients13","clients14","clients15","clients16","clients17","clients18","clients19","clients20","clients21","cobg","cobhukrcg","concealed","depedhuk11","depemhuk11","dephdhuk11","dephshuk11","deprived","disability","dpcfamuk11","ecopuk11","empstat","estnaturei","ethhuk11","ethnicityew","everwork","fmspuk11","health","hhldlang11","hlqupuk11","hours","housecarer","identityg","illhuk11g","indgpuk11","intention","iscog","landlordew","langprf","larpuk11","lastyrwrkg","mainglangg","marstat","meighuk11","mighuk11","mltrlg","movefromg","moveregion","natidbpuk11","natidepuk11","natidipuk11","natidnipuk11","natidopuk11","natidspuk11","natidwpuk11","nssec","nsshuk11","occg","passports","penexactpuk11","penhuk11","penpuk11","position","pproomhuk11","psptelog","relato","religionew","rtntypeg","scaddtyp","scghuk11","scgpuk11c","selfcon","sex","single","sizhuk11","sscaddcpew11","stapuk11","student","supervisor","tenduk11","tenure","transport","transport_2001","typaccom","unemphist","visitorsg","wg1famuk11","wkpladdewni","wlshread","wlshspeak","wlshstnd","wlshwrit","wpzhome","wrkplaceew","yradindstud","yrarr_yearg"
"1372955",381804,1,1,2,188,2,1,11,8,8,7,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,6,2,NA,1,1,NA,3,2,1,15,3,0,NA,0,10,NA,21,NA,NA,1,1,1,2,2,0,5,1,NA,1,4,7,4,3,4,4,9.1,9.1,34,1,0,NA,0,NA,1,NA,NA,2,1,NA,2,2,1,2,2,2,1,NA,2,2,0,1,1,1,2,NA,0,2,2,NA,NA,NA,NA,1,2,0,NA
"2006202",344537,1,1,2,185,2,1,7,11,4,10,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,2,1,NA,1,1,NA,5,1,1,11,3,0,NA,0,2,NA,74,NA,NA,4,1,1,1,2,0,2,1,NA,3,1,7,4,3,4,4,7.4,2,52,1,0,9,0,NA,1,NA,10,2,1,NA,NA,2,1,1,2,4,1,NA,2,2,0,1,8,8,2,NA,0,1,1,NA,NA,NA,NA,4,4,0,NA
"1250688",2339536,1,1,2,191,2,1,8,5,2,6,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,4,6,2,NA,1,1,NA,3,1,1,15,3,0,NA,0,10,NA,31,NA,NA,1,1,1,2,2,0,2,1,NA,3,1,7,4,3,4,4,9.1,9.1,31,1,0,NA,0,NA,2,NA,NA,2,1,NA,2,2,1,1,2,4,1,NA,2,2,1,2,7,7,2,NA,0,2,1,NA,NA,NA,NA,3,3,0,NA
"1957279",2341549,1,1,2,191,2,1,5,7,4,10,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,1,0,0,2,3,3,1,1,NA,1,1,NA,5,2,1,11,1,0,NA,0,15,NA,51,2,NA,4,1,1,1,2,0,6,1,NA,3,1,7,4,3,4,4,13.1,13.4,92,1,0,NA,0,NA,2,NA,4,2,1,NA,4,4,1,1,2,4,1,NA,2,2,3,4,10,10,1,NA,0,1,1,NA,NA,NA,NA,3,3,0,NA
"99970",338803,1,1,2,185,2,1,11,8,5,2,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,0,0,0,2,3,NA,2,1,NA,1,1,NA,2,1,1,10,3,0,NA,0,1,NA,42,2,NA,4,1,1,1,1,0,1,1,NA,3,1,7,4,3,4,4,7.2,7.2,72,1,0,NA,0,NA,1,NA,NA,2,1,NA,2,2,1,1,1,1,1,NA,2,2,3,4,4,4,4,NA,0,NA,1,NA,NA,NA,NA,4,4,0,NA
"753206",2305343,1,1,2,184,2,1,8,5,4,6,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,2,2,1,NA,1,1,NA,3,1,1,15,3,0,NA,0,2,NA,33,NA,NA,3,1,1,1,2,0,7,1,NA,2,2,7,4,3,4,4,4.1,4.1,35,1,0,NA,0,NA,2,NA,3,1,1,NA,2,2,1,1,2,3,1,NA,2,2,1,2,8,8,2,NA,0,2,1,NA,NA,NA,NA,4,4,0,NA
"1250346",2333815,1,1,2,191,2,2,5,9,4,10,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,1,3,1,2,1,NA,1,1,NA,3,2,1,14,3,0,NA,0,3,NA,31,NA,NA,3,1,1,1,2,2,2,3,3,3,1,7,4,3,4,4,6,12.2,52,1,0,NA,0,NA,2,NA,12,2,1,NA,4,4,1,2,2,4,1,NA,2,2,1,2,7,7,1,NA,0,2,1,NA,NA,NA,NA,4,4,0,NA
"2268513",385663,1,1,2,189,2,1,4,7,1,10,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,1,1,NA,1,1,NA,5,1,1,12,1,0,NA,0,10,NA,35,NA,NA,4,1,1,1,2,0,5,1,NA,3,1,7,4,3,4,4,4.1,5,31,1,0,NA,0,NA,1,NA,5,2,1,NA,1,1,1,1,2,3,1,NA,2,2,1,2,10,10,1,NA,0,2,1,NA,NA,NA,NA,3,3,0,NA
"1891637",364773,1,1,2,187,2,1,6,3,4,7,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,2,1,NA,1,1,NA,3,2,1,15,3,0,NA,0,9,NA,14,NA,NA,1,1,1,2,2,0,2,1,NA,3,1,7,4,3,4,4,2,2,12,1,0,NA,0,NA,1,NA,NA,2,2,NA,1,1,1,1,2,2,1,NA,2,1,1,2,7,7,4,NA,0,1,1,NA,NA,NA,NA,4,4,0,NA
"2180790",2273491,1,1,2,182,2,1,9,7,1,8,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,6,1,1,NA,1,1,NA,3,1,1,11,2,0,NA,0,13,NA,53,NA,NA,1,1,1,2,2,0,2,1,NA,3,1,7,4,3,4,4,7.2,5,61,1,0,NA,0,NA,1,NA,1,2,2,NA,1,1,1,2,2,5,1,NA,2,2,1,2,10,10,1,NA,0,2,1,NA,NA,NA,NA,3,3,0,NA
"429724",382114,1,1,2,188,2,1,9,6,4,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,1,0,2,2,NA,2,1,NA,1,1,NA,2,4,1,15,3,0,NA,1,12,NA,26,NA,NA,7,1,1,5,1,0,1,1,NA,1,4,7,4,3,4,4,3.1,3.1,24,1,0,NA,0,NA,1,NA,NA,9,1,NA,1,1,1,2,1,1,1,NA,2,1,1,2,7,7,1,NA,0,NA,1,NA,NA,NA,NA,4,4,0,NA
"1084872",384105,1,1,2,188,2,1,9,6,7,6,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,0,0,0,0,1,3,4,2,1,NA,1,1,NA,3,1,1,12,3,0,NA,0,15,NA,14,NA,NA,1,1,1,2,2,0,3,1,NA,3,4,7,4,3,1,4,5,5,12,1,0,NA,0,NA,2,NA,NA,1,2,NA,2,2,1,1,2,4,1,NA,2,1,1,2,3,3,2,NA,0,2,1,NA,NA,NA,NA,4,4,0,NA
"2432407",366123,1,1,2,187,2,1,9,6,3,9,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,1,0,2,3,3,2,1,NA,1,1,NA,3,1,1,12,4,0,NA,1,1,NA,83,NA,NA,1,1,1,4,4,0,6,1,NA,3,1,7,4,3,4,4,13.3,13.3,82,1,0,NA,0,NA,2,NA,NA,2,1,NA,3,3,1,1,2,4,1,NA,2,2,1,2,7,7,2,NA,0,2,1,NA,NA,NA,NA,4,4,0,NA
"920493",374513,1,1,2,188,2,1,8,6,4,6,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,1,1,3,2,3,2,1,NA,1,1,NA,3,2,1,15,3,1,NA,1,13,NA,53,NA,NA,1,1,1,2,2,0,3,1,NA,3,1,7,4,3,4,4,10,12.3,61,1,0,NA,0,NA,2,NA,1,1,2,NA,3,3,1,2,2,3,1,NA,2,1,1,2,7,7,3,NA,0,2,1,NA,NA,NA,NA,4,4,0,NA
"592887",372914,1,1,2,188,2,1,6,9,4,7,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,2,1,NA,1,1,NA,8,1,1,14,3,0,NA,0,15,NA,42,NA,NA,4,1,1,1,2,0,5,1,NA,3,1,7,4,3,4,4,7.2,12.1,72,1,0,NA,0,NA,1,NA,4,1,2,NA,4,4,1,1,2,2,1,NA,2,1,0,1,7,7,2,NA,0,1,1,NA,NA,NA,NA,4,4,0,NA
"428916",368476,1,1,2,187,2,1,12,9,2,10,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,2,1,NA,1,1,NA,3,2,1,15,3,0,NA,0,13,NA,23,NA,NA,1,1,1,2,2,0,2,1,NA,3,1,7,4,3,4,4,4.1,4.1,23,1,0,9,0,NA,1,NA,NA,2,1,NA,1,1,1,2,2,3,1,NA,2,1,0,1,7,7,1,NA,0,1,1,NA,NA,NA,NA,3,3,0,NA
"919143",351497,1,1,2,186,2,1,8,11,9,10,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,2,1,NA,1,1,NA,5,1,1,13,3,0,NA,0,12,NA,32,NA,NA,4,1,1,1,2,0,5,1,NA,3,1,7,4,3,4,4,4.1,2,35,1,0,9,0,NA,1,NA,4,1,1,NA,NA,2,1,1,2,3,1,NA,2,2,0,1,7,7,2,NA,0,0,3,NA,NA,NA,NA,2,1,0,NA
"1607629",2285376,1,1,2,183,2,1,9,6,4,7,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,2,1,NA,1,1,NA,3,1,1,14,3,0,NA,0,8,NA,42,NA,NA,1,1,1,2,2,0,3,1,NA,3,1,7,4,3,4,4,7.1,7.1,41,1,0,NA,0,NA,1,NA,NA,1,2,NA,2,2,1,1,2,2,1,NA,2,1,1,2,2,2,2,NA,0,2,1,NA,NA,NA,NA,4,4,0,NA
"104153",2340568,1,1,2,191,2,1,9,6,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,0,0,1,3,NA,2,1,NA,1,1,NA,2,1,1,15,3,0,NA,0,13,NA,23,NA,NA,4,1,1,1,1,0,1,1,NA,2,2,7,4,3,4,4,4.1,4.1,23,1,0,NA,0,NA,1,NA,NA,2,1,NA,1,1,1,2,1,1,1,NA,2,1,1,2,7,7,2,NA,0,NA,1,NA,NA,NA,NA,3,3,0,NA
"1968167",2319488,1,1,2,190,2,1,10,7,1,6,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,0,4,3,3,1,1,NA,1,1,NA,3,1,1,11,2,2,NA,1,4,NA,93,NA,NA,3,1,1,1,2,0,3,1,NA,3,1,7,4,3,4,4,12.1,12.1,92,1,0,NA,0,NA,1,NA,NA,1,1,NA,4,4,1,2,2,3,1,NA,2,2,0,1,10,10,2,NA,0,1,1,NA,NA,NA,NA,3,3,0,NA
"589519",2310285,1,1,2,184,2,1,7,9,4,10,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,1,0,1,3,3,1,2,1,NA,1,1,NA,5,2,1,14,3,0,NA,0,5,NA,44,NA,NA,4,1,1,1,2,0,2,1,NA,3,1,7,4,3,4,4,7.1,7.3,41,1,0,NA,0,NA,2,NA,4,2,1,NA,3,3,1,2,2,5,1,NA,2,2,0,1,7,7,2,NA,0,2,1,NA,NA,NA,NA,4,4,0,NA
"2448649",2268921,1,1,2,182,2,1,13,10,3,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,1,1,NA,1,1,NA,3,2,1,15,2,0,NA,0,14,NA,22,NA,NA,1,1,1,2,2,0,2,1,NA,2,2,7,4,3,4,4,4.1,4.1,22,1,1,8,0,NA,1,NA,NA,2,1,NA,2,2,1,2,2,2,1,NA,2,1,1,2,7,7,1,NA,0,1,1,NA,NA,NA,NA,3,3,0,NA
"1727835",363984,1,1,2,187,2,1,11,8,2,2,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,0,0,1,3,NA,1,1,NA,1,1,NA,2,2,1,15,1,0,NA,0,12,NA,33,NA,NA,7,1,1,5,1,0,1,1,NA,3,1,7,4,3,4,4,7.1,7.1,41,1,0,NA,0,NA,1,NA,NA,2,1,NA,2,2,2,1,1,1,1,NA,2,2,0,1,10,10,4,NA,0,NA,1,NA,NA,NA,NA,3,3,0,NA
"2503264",349745,1,1,2,186,2,1,4,6,4,9,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,1,1,0,3,3,5,8,1,NA,1,1,NA,4,1,1,12,1,0,NA,2,15,NA,34,NA,NA,4,1,1,1,2,0,2,1,NA,3,1,7,4,3,4,4,15,3.2,34,1,0,9,0,NA,2,NA,4,2,2,NA,2,2,1,1,2,6,1,2,1,2,0,1,7,7,2,NA,0,2,1,NA,NA,NA,NA,4,4,0,NA
"1084300",374405,1,1,2,188,2,1,10,13,6,5,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,1,0,2,2,1,2,1,NA,1,1,NA,8,3,1,15,3,2,NA,1,14,NA,26,NA,NA,6,1,1,4,2,0,3,1,NA,3,1,7,4,3,4,4,3.1,4.1,22,1,0,8,0,NA,1,NA,4,1,1,NA,NA,1,1,1,2,2,1,NA,2,2,0,1,7,7,2,NA,0,0,1,NA,NA,NA,NA,4,4,0,NA
"2765550",2309770,1,1,2,184,2,1,5,7,2,10,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,1,1,0,3,3,1,8,1,NA,1,1,NA,5,1,1,15,2,0,NA,1,13,NA,53,NA,NA,4,1,1,1,2,0,2,1,NA,3,1,7,4,3,4,4,15,13.3,61,1,0,NA,0,NA,1,NA,4,2,2,NA,3,3,1,1,2,4,1,1,1,2,1,2,4,4,2,NA,0,2,1,NA,NA,NA,NA,3,3,0,NA
"915692",2274279,1,1,2,182,2,1,10,7,9,6,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,0,0,0,2,3,5,2,1,NA,1,1,NA,3,1,1,10,3,0,NA,0,2,NA,71,NA,NA,3,1,1,1,2,0,6,1,NA,3,1,7,4,3,4,4,13.3,13.3,53,1,0,NA,0,NA,2,NA,NA,9,1,NA,3,3,1,1,2,4,1,NA,2,2,1,2,7,7,2,NA,0,2,3,NA,NA,NA,NA,2,1,0,NA
"1837084",392815,1,1,2,189,2,1,12,9,9,6,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,NA,0,0,0,1,2,3,NA,2,1,NA,8,8,NA,2,2,2,16,3,0,NA,0,13,NA,52,NA,NA,5,1,1,2,2,0,2,1,NA,1,4,7,4,3,4,4,12.1,12.1,71,1,0,NA,0,NA,2,NA,NA,6,1,7,4,4,1,1,2,3,2,NA,2,2,1,2,10,10,3,NA,0,NA,3,NA,NA,NA,NA,2,1,0,6
"2579863",388384,1,1,2,189,2,1,13,10,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,0,0,1,3,NA,1,1,NA,1,1,NA,2,1,1,15,2,0,NA,0,2,NA,44,2,NA,7,1,1,5,1,0,1,1,NA,3,1,7,4,3,4,4,7.1,7.1,41,1,0,NA,0,NA,1,NA,NA,1,1,NA,2,2,1,1,1,1,1,NA,2,2,3,4,7,7,2,NA,0,NA,1,NA,NA,NA,NA,3,3,0,NA
"920685",377771,1,1,2,188,2,1,13,10,9,7,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,0,1,0,3,2,1,6,2,NA,1,1,NA,3,3,1,10,4,1,NA,1,5,NA,83,NA,NA,1,1,1,2,2,0,5,1,NA,3,1,7,4,3,4,4,9.1,9.1,82,1,0,NA,0,NA,1,NA,NA,2,2,NA,4,4,1,1,2,2,1,NA,2,2,1,2,5,5,2,NA,0,2,3,NA,NA,NA,NA,2,1,0,NA
"921963",2315945,1,1,2,190,2,1,6,3,2,9,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,4,2,1,NA,10,10,NA,3,1,1,10,3,0,NA,0,8,NA,42,NA,NA,1,1,1,2,3,0,2,1,NA,3,1,7,4,3,4,4,7.1,7.1,41,1,0,NA,0,NA,2,NA,NA,7,2,NA,2,2,1,1,2,6,1,NA,2,2,1,2,4,4,2,NA,0,2,1,NA,NA,NA,NA,4,4,0,NA
"2667126",2282512,1,1,2,183,2,1,8,5,4,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,2,2,1,NA,1,1,NA,6,2,1,12,3,0,NA,0,11,NA,24,NA,NA,4,1,1,1,2,0,2,1,NA,3,1,7,4,3,4,4,4.1,4.1,35,1,0,NA,0,NA,1,NA,NA,2,2,NA,2,2,1,2,1,2,1,NA,2,2,1,2,7,7,3,NA,1,1,1,NA,NA,NA,NA,4,4,0,NA
"2241060",2336496,1,1,2,191,2,1,6,8,3,7,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,2,1,NA,1,1,NA,8,1,1,13,3,0,NA,0,5,NA,93,NA,NA,4,1,1,1,2,0,2,1,NA,3,1,7,4,3,4,4,13.4,12.2,92,1,0,NA,0,NA,1,NA,4,2,1,NA,4,4,1,1,2,2,1,NA,2,2,1,2,4,4,2,NA,0,1,1,NA,NA,NA,NA,4,4,0,NA
"1968017",2301610,1,1,2,184,2,3,7,4,1,7,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,2,1,NA,1,1,NA,3,1,1,15,3,0,NA,0,13,NA,21,5,NA,3,1,1,1,2,1,3,4,3,2,2,7,4,3,4,4,3.1,3.1,21,1,0,NA,0,NA,1,NA,NA,1,1,NA,1,1,1,2,2,2,1,NA,2,1,7,4,9,9,3,NA,0,2,1,NA,NA,NA,NA,3,3,0,NA
"2705629",2341685,1,1,2,191,2,1,11,8,1,9,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,5,2,1,NA,1,1,NA,3,1,1,12,3,0,NA,0,13,NA,53,NA,NA,1,1,1,2,2,0,6,1,NA,3,1,7,4,3,4,4,10,10,61,1,0,NA,0,NA,2,NA,NA,2,1,NA,3,3,1,2,2,4,1,NA,2,1,1,2,7,7,2,NA,0,2,1,NA,NA,NA,NA,3,3,0,NA
"2787424",349062,1,1,2,185,2,1,5,8,3,10,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,1,0,0,1,0,2,3,1,1,1,NA,7,7,NA,3,2,2,10,1,0,NA,0,5,NA,93,NA,NA,3,1,1,1,2,2,2,1,NA,1,4,7,4,3,4,4,13.2,13.4,91,1,0,NA,0,NA,2,NA,4,6,2,NA,4,4,1,1,2,7,1,NA,2,2,1,2,8,8,3,NA,0,1,1,NA,NA,NA,NA,3,3,0,NA
"266058",380100,1,1,2,188,2,1,9,6,3,6,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,4,2,1,NA,1,1,NA,3,1,1,15,3,0,NA,0,10,NA,26,NA,NA,1,1,1,2,4,0,3,1,NA,1,4,7,4,3,4,4,3.1,3.1,24,1,0,NA,0,NA,2,NA,NA,1,2,NA,1,1,1,1,2,4,1,NA,2,1,1,2,7,7,1,NA,0,2,1,NA,NA,NA,NA,4,4,0,NA
"268115",2338065,1,1,2,191,2,1,5,10,7,10,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,2,1,NA,1,1,NA,5,1,1,15,4,0,NA,0,12,NA,21,NA,NA,4,1,1,1,2,0,2,1,NA,3,1,7,4,3,4,4,3.1,13.4,21,1,0,NA,0,NA,1,NA,4,2,1,-8,4,4,1,1,2,3,2,NA,2,1,0,1,7,7,2,NA,0,2,1,NA,NA,NA,NA,4,4,0,NA
"1520386",2337989,1,1,2,191,2,1,12,9,1,7,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,2,1,NA,1,1,NA,3,1,1,11,3,0,NA,0,14,NA,42,NA,NA,1,1,1,2,2,0,5,1,NA,3,1,7,4,3,4,4,7.1,7.1,41,8,0,NA,0,NA,2,NA,NA,2,1,NA,2,2,1,2,2,2,1,NA,2,2,1,2,7,7,2,NA,0,2,1,NA,NA,NA,NA,3,3,0,NA
"1085452",393975,1,1,2,189,2,3,9,6,4,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,0,0,1,3,NA,2,1,NA,1,1,NA,2,2,1,13,3,0,NA,0,7,NA,93,3,NA,4,1,1,1,1,1,1,4,3,3,1,7,4,3,4,4,13.4,13.4,92,1,0,NA,0,NA,1,NA,NA,2,1,NA,4,4,1,1,1,1,1,NA,2,2,5,4,7,7,2,NA,0,NA,1,NA,NA,NA,NA,4,4,0,NA
"1329147",2271697,1,1,2,182,2,1,11,8,9,10,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,1,0,2,3,1,8,1,NA,1,1,NA,3,1,1,11,1,0,NA,1,11,NA,91,NA,NA,1,1,1,2,2,0,2,1,NA,3,1,7,4,3,4,4,15,12.2,92,1,0,NA,0,NA,1,NA,1,2,1,NA,3,3,1,2,2,3,1,7,1,2,1,2,10,10,3,NA,0,2,3,NA,NA,NA,NA,2,1,0,NA
"589241",2290782,1,1,2,183,2,1,6,3,1,7,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,0,0,1,3,NA,2,1,NA,1,1,NA,2,1,1,12,3,0,NA,0,7,NA,42,3,NA,4,1,1,1,2,0,3,1,NA,2,2,7,4,3,4,4,7.2,4.2,72,1,0,NA,0,NA,1,NA,13,1,1,NA,2,2,1,1,2,2,1,NA,2,2,5,4,10,10,2,NA,0,NA,1,NA,NA,NA,NA,3,3,0,NA
"1085876",2326280,1,1,2,190,2,1,8,6,2,10,2,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,1,0,0,2,3,1,2,1,NA,1,1,NA,3,1,1,10,3,1,NA,0,6,NA,94,NA,NA,3,1,1,2,2,0,2,1,NA,3,1,7,4,3,4,4,10,8.1,92,1,0,NA,0,NA,1,NA,3,2,1,NA,2,2,1,2,2,3,1,NA,2,1,1,2,7,7,1,NA,0,2,1,NA,NA,NA,NA,4,4,0,NA
"430392",393540,1,1,2,189,2,1,10,7,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,0,0,0,2,3,NA,2,1,NA,1,1,NA,2,2,1,11,3,1,NA,0,11,NA,93,NA,NA,7,1,1,5,1,0,1,1,NA,3,1,7,4,3,4,4,13.4,13.4,91,1,0,NA,0,NA,1,NA,NA,2,1,NA,4,4,1,1,1,1,1,NA,2,2,1,2,7,7,3,NA,0,NA,1,NA,NA,NA,NA,3,3,0,NA
"1245420",2307573,1,1,2,184,2,1,7,5,3,7,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,2,1,NA,1,1,NA,3,1,1,15,3,0,NA,0,10,NA,24,NA,NA,1,1,1,2,2,0,3,1,NA,1,4,7,4,3,4,4,3.2,5,35,1,0,NA,0,NA,1,NA,1,1,1,NA,1,1,1,2,2,2,1,NA,2,1,1,2,3,3,2,NA,0,2,1,NA,NA,NA,NA,3,3,0,NA
