2272175,1,182,1,11,6,2,7,0,0,0,0,1,3,5,3,1,15,0,,,1,1,2,105,7,7,,1,4,4
2272150,2,182,1,13,2,3,1,0,0,0,0,1,3,1,1,2,15,0,,,1,2,1,105,7,7,,1,3,3
2272344,3,182,1,8,5,2,1,0,0,0,1,2,3,4,1,1,14,0,,,2,1,2,105,7,7,,1,4,4
2272303,4,182,1,5,4,3,1,0,0,0,0,1,3,1,1,2,14,0,,,2,2,2,105,7,7,,1,3,3
2273111,5,182,1,13,3,1,1,0,1,1,0,3,3,3,1,1,15,2,,,1,1,2,55,9,9,,1,3,3
2272246,6,182,1,14,2,1,2,0,0,0,0,1,3,1,1,1,14,0,,,,1,1,105,7,7,,1,3,3
2272327,7,182,1,10,2,2,1,0,0,0,0,1,3,5,1,1,14,0,,,1,1,2,105,7,7,,1,3,3
2272373,8,182,1,4,2,1,1,0,0,0,0,1,3,3,1,3,14,0,2,,2,2,4,55,10,10,,1,3,3
2272377,9,182,1,12,2,1,1,0,0,0,0,1,3,1,1,2,12,0,,,4,2,2,55,4,4,,1,3,3
2272270,10,182,1,7,4,2,1,0,0,0,0,1,3,4,1,1,15,0,,,1,2,2,105,7,7,,1,4,4
2280509,11,182,1,8,3,2,1,0,0,0,0,1,3,4,5,2,15,0,,,1,2,2,105,7,7,,1,3,3
2272452,12,182,1,11,2,1,1,0,0,0,0,1,3,1,1,2,12,0,2,,3,2,4,105,7,7,,1,3,3
2272360,13,182,1,9,2,1,1,0,0,0,0,1,3,3,1,2,16,0,2,,4,1,4,105,7,7,,1,3,3
2272509,14,182,1,6,3,2,1,0,0,0,0,1,3,1,1,1,15,0,,,4,2,1,105,7,7,,1,3,3
2272597,15,182,1,9,2,1,1,0,0,0,0,1,3,2,1,1,12,0,,,4,1,1,105,7,7,,1,3,3
2272502,16,182,1,9,1,2,1,0,0,1,0,2,3,3,1,2,15,1,,,1,1,2,105,7,7,,1,3,3
2272445,17,182,1,6,2,2,1,0,0,1,0,2,3,1,1,3,15,1,,,2,2,1,105,7,7,,1,3,3
2281398,18,182,2,9,2,1,11,0,0,0,0,1,3,5,10,1,15,0,3,3,1,2,4,105,7,7,,1,3,3
2272028,19,182,1,7,4,1,1,0,0,0,0,1,3,1,1,1,15,0,,,1,1,2,55,3,3,,1,4,4
2273156,20,182,1,8,8,2,1,0,0,1,0,2,3,1,1,1,12,1,,,2,1,2,105,7,1,1,2,1,2
2272088,21,182,1,9,2,2,1,0,0,0,0,1,3,4,1,2,15,0,,,2,2,2,105,7,7,,1,3,3
