1372955,381804,188,1,11,8,2,1,0,0,0,0,1,3,1,1,2,15,0,21,NA,NA,2,2,0,1,1,2,1,2
2006202,344537,185,1,7,4,4,1,0,0,0,0,1,3,1,1,1,11,0,74,NA,NA,2,1,0,8,8,1,4,4
1250688,2339536,191,1,8,2,1,1,0,0,0,0,1,3,4,1,1,15,0,31,NA,NA,2,1,1,7,7,1,3,3
1957279,2341549,191,1,5,4,1,1,0,1,0,0,2,3,3,1,2,11,0,51,2,NA,4,1,3,10,10,1,3,3
99970,338803,185,1,11,5,0,1,1,0,0,0,2,3,NA,1,1,10,0,42,2,NA,2,1,3,4,4,1,4,4
753206,2305343,184,1,8,4,1,1,0,0,0,0,1,3,2,1,1,15,0,33,NA,NA,2,1,1,8,8,1,4,4
1250346,2333815,191,2,5,4,4,1,0,0,0,0,1,3,1,1,2,14,0,31,NA,3,4,2,1,7,7,1,4,4
2268513,385663,189,1,4,1,2,1,0,0,0,0,1,3,1,1,1,12,0,35,NA,NA,1,1,1,10,10,1,3,3
1891637,364773,187,1,6,4,1,1,0,0,0,0,1,3,1,1,2,15,0,14,NA,NA,1,1,1,7,7,1,4,4
2180790,2273491,182,1,9,1,2,1,0,0,0,0,1,3,6,1,1,11,0,53,NA,NA,1,2,1,10,10,1,3,3
429724,382114,188,1,9,4,1,1,0,0,1,0,2,2,NA,1,4,15,1,26,NA,NA,1,2,1,7,7,1,4,4
1084872,384105,188,1,9,7,1,2,0,0,0,0,1,3,4,1,1,12,0,14,NA,NA,2,1,1,3,3,1,4,4
2432407,366123,187,1,9,3,1,1,0,0,1,0,2,3,3,1,1,12,1,83,NA,NA,3,1,1,7,7,1,4,4
920493,374513,188,1,8,4,2,1,0,0,1,1,3,2,3,1,2,15,1,53,NA,NA,3,2,1,7,7,1,4,4
592887,372914,188,1,6,4,1,1,0,0,0,0,1,3,1,1,1,14,0,42,NA,NA,4,1,0,7,7,1,4,4
428916,368476,187,1,12,2,2,1,0,0,0,0,1,3,1,1,2,15,0,23,NA,NA,1,2,0,7,7,1,3,3
919143,351497,186,1,8,9,2,1,0,0,0,0,1,3,1,1,1,13,0,32,NA,NA,2,1,0,7,7,3,2,1
1607629,2285376,183,1,9,4,2,1,0,0,0,0,1,3,1,1,1,14,0,42,NA,NA,2,1,1,2,2,1,4,4
104153,2340568,191,1,9,1,1,1,0,0,0,0,1,3,NA,1,1,15,0,23,NA,NA,1,2,1,7,7,1,3,3
